game_id,game_date,away_team,home_team,home_score,away_score,max_period
2020020229,2021-04-09,WSH,BUF,3,4,3
2020020230,2021-02-13,BOS,NYI,4,2,3
2020020231,2021-05-10,N.J,PHI,4,2,3
2020020232,2021-02-13,T.B,FLA,1,6,3
2020020233,2021-02-13,CBJ,CHI,3,2,4
2020020234,2021-02-13,DET,NSH,2,4,3
2020020235,2021-02-13,MTL,TOR,1,2,3
2020020236,2021-02-13,OTT,WPG,1,2,3
2020020237,2021-02-13,CGY,VAN,3,1,3
2020020238,2021-02-13,CAR,DAL,3,4,5
2020020239,2021-02-13,STL,ARI,4,5,4
2020020240,2021-04-23,MIN,L.A,2,4,3
2020020241,2021-04-06,ANA,S.J,1,5,3
2020020242,2021-02-14,WSH,PIT,6,3,3
2020020243,2021-02-14,COL,VGK,1,0,3
2020020244,2021-03-07,N.J,BOS,0,1,3
2020020245,2021-02-15,NYI,BUF,1,3,3
2020020246,2021-02-15,CHI,DET,2,3,4
2020020247,2021-02-15,OTT,TOR,5,6,4
2020020248,2021-02-15,WPG,EDM,5,6,3
2020020249,2021-02-15,CGY,VAN,3,4,4
2020020250,2021-03-07,NSH,DAL,4,5,5
2020020251,2021-02-15,STL,ARI,1,0,3
2020020252,2021-02-15,ANA,S.J,3,2,3
2020020253,2021-02-16,NYI,BUF,0,3,3
2020020254,2021-04-22,PHI,NYR,2,3,3
2020020255,2021-02-15,CBJ,CAR,7,3,3
2020020256,2021-02-15,FLA,T.B,4,6,3
2020020257,2021-02-16,WSH,PIT,1,3,3
2020020258,2021-03-21,NSH,DAL,4,5,5
2020020259,2021-02-16,COL,VGK,2,3,3
2020020260,2021-02-16,MIN,L.A,4,0,3
2020020261,2021-02-17,CHI,DET,0,2,3
2020020262,2021-02-17,OTT,TOR,2,1,3
2020020263,2021-02-17,VAN,CGY,1,5,3
2020020264,2021-02-17,WPG,EDM,3,2,3
2020020265,2021-02-18,N.J,BOS,2,3,3
2020020266,2021-02-18,NYR,PHI,3,4,5
2020020267,2021-02-18,NYI,PIT,4,1,3
2020020268,2021-02-18,NSH,CBJ,3,0,3
2020020269,2021-02-18,S.J,STL,3,2,4
2020020270,2021-02-18,OTT,TOR,7,3,3
2020020271,2021-03-02,T.B,DAL,0,2,3
2020020272,2021-02-18,L.A,ARI,4,5,5
2020020273,2021-02-18,MIN,ANA,1,3,3
2020020274,2021-02-19,CHI,CAR,5,3,3
2020020275,2021-02-19,FLA,DET,2,7,3
2020020276,2021-02-19,EDM,CGY,1,2,3
2020020277,2021-02-19,WPG,VAN,0,2,3
2020020278,2021-02-20,BUF,N.J,2,3,3
2020020279,2021-02-20,NYR,WSH,1,4,3
2020020280,2021-05-06,CHI,CAR,1,2,4
2020020281,2021-02-20,NYI,PIT,3,2,3
2020020282,2021-02-20,NSH,CBJ,2,4,3
2020020283,2021-02-20,S.J,STL,4,5,3
2020020284,2021-02-20,TOR,MTL,3,5,3
2020020285,2021-02-20,CGY,EDM,7,1,3
2020020286,2021-03-16,T.B,DAL,4,5,5
2020020287,2021-02-20,VGK,COL,3,2,3
2020020288,2021-02-20,L.A,ARI,2,4,3
2020020289,2021-02-20,MIN,ANA,1,5,3
2020020290,2021-02-21,PHI,BOS,7,3,3
2020020291,2021-03-20,NYR,WSH,1,3,3
2020020292,2021-02-20,FLA,DET,2,1,3
2020020293,2021-02-21,MTL,OTT,3,2,4
2020020294,2021-02-21,WPG,VAN,3,4,4
2020020295,2021-02-23,BUF,N.J,1,4,3
2020020296,2021-02-24,CAR,T.B,3,0,3
2020020297,2021-02-22,L.A,STL,0,3,3
2020020298,2021-02-22,CGY,TOR,0,3,3
2020020299,2021-02-22,VGK,COL,0,3,3
2020020300,2021-02-22,ANA,ARI,4,3,3
2020020301,2021-03-02,NYI,N.J,1,2,3
2020020302,2021-02-23,PIT,WSH,2,3,4
2020020303,2021-02-24,DAL,FLA,0,3,3
2020020304,2021-02-23,CHI,CBJ,5,6,5
2020020305,2021-02-23,NSH,DET,0,2,3
2020020306,2021-02-23,MTL,OTT,6,4,5
2020020307,2021-02-23,EDM,VAN,3,4,3
2020020308,2021-02-24,NYR,PHI,4,3,3
2020020309,2021-02-24,L.A,STL,1,2,3
2020020310,2021-02-24,CGY,TOR,2,1,4
2020020311,2021-02-24,ANA,ARI,5,4,5
2020020312,2021-02-25,BOS,NYI,7,2,3
2020020313,2021-02-25,PIT,WSH,5,2,3
2020020314,2021-02-25,CAR,T.B,3,1,3
2020020315,2021-02-25,DAL,FLA,3,2,3
2020020316,2021-02-25,CHI,CBJ,0,2,3
2020020317,2021-02-25,NSH,DET,5,2,3
2020020318,2021-02-25,CGY,OTT,6,1,3
2020020319,2021-02-25,MTL,WPG,6,3,3
2020020320,2021-02-25,EDM,VAN,0,3,3
2020020321,2021-02-26,COL,ARI,2,3,3
2020020322,2021-02-27,PHI,BUF,0,3,3
2020020323,2021-02-26,BOS,NYR,6,2,3
2020020324,2021-02-26,L.A,MIN,3,1,3
2020020325,2021-04-24,VGK,ANA,1,5,3
2020020326,2021-03-08,STL,S.J,3,2,4
2020020327,2021-02-27,WSH,N.J,2,5,3
2020020328,2021-02-27,PIT,NYI,3,4,4
2020020329,2021-02-27,DAL,T.B,5,0,3
2020020330,2021-02-27,CAR,FLA,5,6,5
2020020331,2021-02-27,DET,CHI,3,5,3
2020020332,2021-02-27,CBJ,NSH,2,1,3
2020020333,2021-02-27,CGY,OTT,3,6,3
2020020334,2021-02-27,MTL,WPG,2,1,4
2020020335,2021-02-27,TOR,EDM,0,4,3
2020020336,2021-02-27,L.A,MIN,4,3,4
2020020337,2021-02-27,COL,ARI,2,6,3
2020020338,2021-02-27,VGK,ANA,2,3,4
2020020339,2021-02-27,STL,S.J,6,7,3
2020020340,2021-02-28,PHI,BUF,0,3,3
2020020341,2021-02-28,PIT,NYI,2,0,3
2020020342,2021-02-28,BOS,NYR,1,4,3
2020020343,2021-02-28,DET,CHI,7,2,3
2020020344,2021-02-28,CBJ,NSH,3,1,3
2020020345,2021-03-01,VAN,WPG,0,4,3
2020020346,2021-02-28,WSH,N.J,2,3,3
2020020347,2021-04-29,DAL,T.B,3,0,3
2020020348,2021-03-01,CAR,FLA,2,3,4
2020020349,2021-03-01,CGY,OTT,5,1,3
2020020350,2021-03-01,TOR,EDM,0,3,3
2020020351,2021-03-01,MIN,VGK,5,4,4
2020020352,2021-03-01,STL,ANA,4,5,3
2020020353,2021-03-01,COL,S.J,6,2,3
2020020354,2021-03-02,BUF,NYR,3,2,3
2020020355,2021-03-02,PHI,PIT,5,2,3
2020020356,2021-03-02,DET,CBJ,4,1,3
2020020357,2021-03-02,OTT,MTL,3,1,3
2020020358,2021-03-02,VAN,WPG,5,2,3
2020020359,2021-03-03,WSH,BOS,1,2,5
2020020360,2021-03-03,TOR,EDM,1,6,3
2020020361,2021-03-03,MIN,VGK,5,1,3
2020020362,2021-03-03,STL,ANA,2,3,3
2020020363,2021-03-03,COL,S.J,0,4,3
2020020364,2021-02-16,N.J,NYR,2,5,3
2020020365,2021-03-04,DET,CAR,5,2,3
2020020366,2021-03-04,PHI,PIT,3,4,3
2020020367,2021-03-04,T.B,CHI,2,3,4
2020020368,2021-03-04,FLA,NSH,4,5,3
2020020369,2021-03-04,WPG,MTL,3,4,4
2020020370,2021-03-04,OTT,CGY,7,3,3
2020020371,2021-03-04,TOR,VAN,3,1,3
2020020372,2021-03-04,CBJ,DAL,2,3,3
2020020373,2021-03-05,WSH,BOS,5,1,3
2020020374,2021-03-06,NYR,N.J,3,6,3
2020020375,2021-03-06,BUF,NYI,5,2,3
2020020376,2021-03-05,T.B,CHI,4,3,5
2020020377,2021-03-05,ANA,COL,3,2,4
2020020378,2021-03-05,MIN,ARI,1,5,3
2020020379,2021-03-05,STL,L.A,2,3,4
2020020380,2021-03-05,VGK,S.J,4,5,4
2020020381,2021-03-06,FLA,NSH,2,6,3
2020020382,2021-03-06,WPG,MTL,7,1,3
2020020383,2021-03-06,CGY,EDM,3,2,3
2020020384,2021-03-06,TOR,VAN,4,2,3
