constructorStandingsId,raceId,constructorId,points,position,positionText,wins,name,year,round,date,race_name
26561,948,210,8,5,5,0,Haas F1 Team,2016,1,2016-03-20,Australian Grand Prix
26560,948,3,14,3,3,0,Williams,2016,1,2016-03-20,Australian Grand Prix
26559,948,9,12,4,4,0,Red Bull,2016,1,2016-03-20,Australian Grand Prix
26558,948,6,15,2,2,0,Ferrari,2016,1,2016-03-20,Australian Grand Prix
26447,949,131,83,1,1,2,Mercedes,2016,2,2016-04-03,Bahrain Grand Prix
26448,949,6,33,2,2,0,Ferrari,2016,2,2016-04-03,Bahrain Grand Prix
26449,949,9,30,3,3,0,Red Bull,2016,2,2016-04-03,Bahrain Grand Prix
26450,949,3,20,4,4,0,Williams,2016,2,2016-04-03,Bahrain Grand Prix
26451,949,210,18,5,5,0,Haas F1 Team,2016,2,2016-04-03,Bahrain Grand Prix
26452,949,10,6,7,7,0,Force India,2016,2,2016-04-03,Bahrain Grand Prix
26453,949,5,11,6,6,0,Toro Rosso,2016,2,2016-04-03,Bahrain Grand Prix
26454,949,4,0,9,9,0,Renault,2016,2,2016-04-03,Bahrain Grand Prix
26455,949,1,1,8,8,0,McLaren,2016,2,2016-04-03,Bahrain Grand Prix
26456,949,15,0,10,10,0,Sauber,2016,2,2016-04-03,Bahrain Grand Prix
26457,949,209,0,11,11,0,Manor Marussia,2016,2,2016-04-03,Bahrain Grand Prix
26458,950,131,114,1,1,3,Mercedes,2016,3,2016-04-17,Chinese Grand Prix
26459,950,6,61,2,2,0,Ferrari,2016,3,2016-04-17,Chinese Grand Prix
26460,950,9,57,3,3,0,Red Bull,2016,3,2016-04-17,Chinese Grand Prix
26461,950,3,29,4,4,0,Williams,2016,3,2016-04-17,Chinese Grand Prix
26462,950,210,18,5,5,0,Haas F1 Team,2016,3,2016-04-17,Chinese Grand Prix
26463,950,10,6,7,7,0,Force India,2016,3,2016-04-17,Chinese Grand Prix
26464,950,5,17,6,6,0,Toro Rosso,2016,3,2016-04-17,Chinese Grand Prix
26465,950,4,0,9,9,0,Renault,2016,3,2016-04-17,Chinese Grand Prix
26466,950,1,1,8,8,0,McLaren,2016,3,2016-04-17,Chinese Grand Prix
26467,950,15,0,10,10,0,Sauber,2016,3,2016-04-17,Chinese Grand Prix
26468,950,209,0,11,11,0,Manor Marussia,2016,3,2016-04-17,Chinese Grand Prix
26469,951,131,157,1,1,4,Mercedes,2016,4,2016-05-01,Russian Grand Prix
26470,951,6,76,2,2,0,Ferrari,2016,4,2016-05-01,Russian Grand Prix
26471,951,9,57,3,3,0,Red Bull,2016,4,2016-05-01,Russian Grand Prix
26472,951,3,51,4,4,0,Williams,2016,4,2016-05-01,Russian Grand Prix
26473,951,210,22,5,5,0,Haas F1 Team,2016,4,2016-05-01,Russian Grand Prix
26474,951,10,8,8,8,0,Force India,2016,4,2016-05-01,Russian Grand Prix
26475,951,5,17,6,6,0,Toro Rosso,2016,4,2016-05-01,Russian Grand Prix
26476,951,4,6,9,9,0,Renault,2016,4,2016-05-01,Russian Grand Prix
26477,951,1,10,7,7,0,McLaren,2016,4,2016-05-01,Russian Grand Prix
26478,951,15,0,10,10,0,Sauber,2016,4,2016-05-01,Russian Grand Prix
26479,951,209,0,11,11,0,Manor Marussia,2016,4,2016-05-01,Russian Grand Prix
26480,952,131,157,1,1,4,Mercedes,2016,5,2016-05-15,Spanish Grand Prix
26481,952,6,109,2,2,0,Ferrari,2016,5,2016-05-15,Spanish Grand Prix
26482,952,9,94,3,3,1,Red Bull,2016,5,2016-05-15,Spanish Grand Prix
26483,952,3,65,4,4,0,Williams,2016,5,2016-05-15,Spanish Grand Prix
26484,952,210,22,6,6,0,Haas F1 Team,2016,5,2016-05-15,Spanish Grand Prix
26485,952,10,14,7,7,0,Force India,2016,5,2016-05-15,Spanish Grand Prix
26486,952,5,26,5,5,0,Toro Rosso,2016,5,2016-05-15,Spanish Grand Prix
26487,952,4,6,9,9,0,Renault,2016,5,2016-05-15,Spanish Grand Prix
26488,952,1,12,8,8,0,McLaren,2016,5,2016-05-15,Spanish Grand Prix
26489,952,15,0,10,10,0,Sauber,2016,5,2016-05-15,Spanish Grand Prix
26490,952,209,0,11,11,0,Manor Marussia,2016,5,2016-05-15,Spanish Grand Prix
26491,953,131,188,1,1,5,Mercedes,2016,6,2016-05-29,Monaco Grand Prix
26492,953,6,121,2,2,0,Ferrari,2016,6,2016-05-29,Monaco Grand Prix
26493,953,9,112,3,3,1,Red Bull,2016,6,2016-05-29,Monaco Grand Prix
26494,953,3,66,4,4,0,Williams,2016,6,2016-05-29,Monaco Grand Prix
26495,953,210,22,8,8,0,Haas F1 Team,2016,6,2016-05-29,Monaco Grand Prix
26496,953,10,37,5,5,0,Force India,2016,6,2016-05-29,Monaco Grand Prix
26497,953,5,30,6,6,0,Toro Rosso,2016,6,2016-05-29,Monaco Grand Prix
26498,953,4,6,9,9,0,Renault,2016,6,2016-05-29,Monaco Grand Prix
26499,953,1,24,7,7,0,McLaren,2016,6,2016-05-29,Monaco Grand Prix
26500,953,15,0,10,10,0,Sauber,2016,6,2016-05-29,Monaco Grand Prix
26501,953,209,0,11,11,0,Manor Marussia,2016,6,2016-05-29,Monaco Grand Prix
26502,954,131,223,1,1,6,Mercedes,2016,7,2016-06-12,Canadian Grand Prix
26503,954,6,147,2,2,0,Ferrari,2016,7,2016-06-12,Canadian Grand Prix
26504,954,9,130,3,3,1,Red Bull,2016,7,2016-06-12,Canadian Grand Prix
26505,954,3,81,4,4,0,Williams,2016,7,2016-06-12,Canadian Grand Prix
26506,954,210,22,8,8,0,Haas F1 Team,2016,7,2016-06-12,Canadian Grand Prix
26507,954,10,42,5,5,0,Force India,2016,7,2016-06-12,Canadian Grand Prix
26508,954,5,32,6,6,0,Toro Rosso,2016,7,2016-06-12,Canadian Grand Prix
26509,954,4,6,9,9,0,Renault,2016,7,2016-06-12,Canadian Grand Prix
26510,954,1,24,7,7,0,McLaren,2016,7,2016-06-12,Canadian Grand Prix
26511,954,15,0,10,10,0,Sauber,2016,7,2016-06-12,Canadian Grand Prix
26512,954,209,0,11,11,0,Manor Marussia,2016,7,2016-06-12,Canadian Grand Prix
26525,955,6,177,2,2,0,Ferrari,2016,8,2016-06-19,European Grand Prix
26526,955,9,140,3,3,1,Red Bull,2016,8,2016-06-19,European Grand Prix
26527,955,3,90,4,4,0,Williams,2016,8,2016-06-19,European Grand Prix
26528,955,210,22,8,8,0,Haas F1 Team,2016,8,2016-06-19,European Grand Prix
26529,955,10,59,5,5,0,Force India,2016,8,2016-06-19,European Grand Prix
26530,955,5,32,6,6,0,Toro Rosso,2016,8,2016-06-19,European Grand Prix
26531,955,4,6,9,9,0,Renault,2016,8,2016-06-19,European Grand Prix
26532,955,1,24,7,7,0,McLaren,2016,8,2016-06-19,European Grand Prix
26533,955,15,0,10,10,0,Sauber,2016,8,2016-06-19,European Grand Prix
26534,955,209,0,11,11,0,Manor Marussia,2016,8,2016-06-19,European Grand Prix
26535,956,131,295,1,1,8,Mercedes,2016,9,2016-07-03,Austrian Grand Prix
26536,956,6,192,2,2,0,Ferrari,2016,9,2016-07-03,Austrian Grand Prix
